,ano,codigo,rdeser,total_matriculados,mat_mas,promedio_edad,municipal,particular,arancel,total_titulados,rmat_tit,clasif_inst_n3,area_ocde,modalidad,jornada,acreditada
149,2014,I2S1C2J2V1,Medio,Alto,Medio,Alto,Muy Bajo,Alto,Alto,Medio,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
150,2014,I2S1C2J1V1,Medio,Alto,Medio,Medio,Muy Bajo,Alto,Alto,Medio Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
152,2014,I2S1C27J1V1,Medio Alto,Muy Bajo,Medio,Medio Alto,Bajo,Alto,Alto,Muy Bajo,Medio Alto,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
154,2014,I2S1C26J1V1,Bajo,Medio Alto,Muy Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,acreditado
157,2014,I2S1C1J2V1,Medio Alto,Alto,Medio Alto,Alto,Muy Bajo,Alto,Alto,Medio,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
158,2014,I2S1C1J1V1,Medio Alto,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
160,2014,I2S1C18J1V1,Medio,Muy Bajo,Muy Bajo,Medio,Bajo,Alto,Alto,Muy Bajo,Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
161,2014,I2S1C16J1V1,Muy Bajo,Medio Alto,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
165,2014,I2S1C13J1V1,Muy Bajo,Alto,Bajo,Medio,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
166,2014,I39S2C9J1V1,Medio,Alto,Bajo,Bajo,Medio Alto,Medio Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
168,2014,I2S1C135J2V1,Bajo,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Muy Bajo,Medio,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
169,2014,I2S1C130J1V1,Medio Alto,Medio Alto,Muy Bajo,Muy Bajo,Bajo,Alto,Alto,Medio,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
170,2014,I2S1C106J1V1,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Medio Alto,Medio,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
171,2014,I2S1C102J2V1,Bajo,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Muy Bajo,Medio Alto,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
174,2014,I1S1C76J1V1,Alto,Bajo,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Muy Bajo,Alto,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
175,2014,I1S1C69J1V1,Muy Bajo,Muy Bajo,Medio,Bajo,Muy Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
176,2014,I1S1C59J1V1,Muy Bajo,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Alto,Alto,Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
177,2014,I1S1C47J1V1,Bajo,Muy Bajo,Alto,Medio Alto,Muy Bajo,Alto,Alto,Muy Bajo,Medio,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
178,2014,I39S8C9J1V1,Bajo,Medio,Medio,Bajo,Alto,Medio,Alto,Medio,Medio Alto,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
181,2014,I39S7C46J1V1,Muy Bajo,Medio Alto,Medio Alto,Medio,Alto,Muy Bajo,Medio Alto,Bajo,Medio Alto,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
183,2014,I25S1C101J2V1,Medio,Muy Bajo,Medio Alto,Alto,Muy Bajo,Medio Alto,Medio,Muy Bajo,Alto,Universidades Privadas,AGRICULTURA,PRESENCIAL,VESPERTINO,no acreditado
185,2014,I39S7C10J1V1,Medio,Medio Alto,Medio,Medio,Alto,Medio,Alto,Bajo,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
186,2014,I13S15C6J1V1,Muy Bajo,Medio,Bajo,Medio,Medio Alto,Medio,Medio Alto,Medio,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
187,2014,I13S5C6J1V1,Bajo,Medio Alto,Muy Bajo,Bajo,Medio,Bajo,Medio Alto,Medio Alto,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
189,2014,I13S7C9J1V1,Muy Bajo,Medio Alto,Medio,Medio Alto,Medio Alto,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
190,2014,I48S4C24J1V1,Alto,Alto,Muy Bajo,Alto,Bajo,Bajo,Bajo,Alto,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
191,2014,I13S9C9J1V1,Muy Bajo,Medio,Bajo,Medio Alto,Alto,Medio,Medio Alto,Medio,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
192,2014,I13S9C6J1V1,Bajo,Medio Alto,Bajo,Bajo,Alto,Bajo,Medio Alto,Medio Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
193,2014,I10S9C4J1V1,Medio,Bajo,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Muy Bajo,Alto,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
196,2014,I10S8C189J1V2,Alto,Medio,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Medio,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
197,2014,I10S8C186J1V1,Medio Alto,Bajo,Medio Alto,Muy Bajo,Bajo,Alto,Alto,Muy Bajo,Medio,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
198,2014,I13S12C6J1V1,Medio,Medio,Muy Bajo,Medio Alto,Alto,Muy Bajo,Medio Alto,Bajo,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
199,2014,I13S12C31J1V1,Muy Bajo,Medio Alto,Bajo,Medio,Alto,Bajo,Medio Alto,Medio,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
200,2014,I10S7C467J5V1,Alto,Bajo,Medio Alto,Alto,Muy Bajo,Muy Bajo,Muy Bajo,Medio Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,OTRO,no acreditado
203,2014,I13S2C31J1V1,Bajo,Medio,Bajo,Medio,Medio Alto,Medio,Medio Alto,Medio,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
204,2014,I54S5C72J1V1,Muy Bajo,Medio,Muy Bajo,Medio,Alto,Medio,Medio,Medio,Muy Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
205,2014,I54S5C55J2V1,Alto,Muy Bajo,Alto,Alto,Alto,Medio Alto,Medio,Muy Bajo,Medio Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,VESPERTINO,no acreditado
206,2014,I54S6C48J2V1,Muy Bajo,Bajo,Alto,Medio Alto,Alto,Muy Bajo,Bajo,Bajo,Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,VESPERTINO,acreditado
207,2014,I54S6C48J1V1,Medio,Bajo,Alto,Muy Bajo,Alto,Bajo,Bajo,Muy Bajo,Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,DIURNO,acreditado
208,2014,I10S7C32J1V1,Medio Alto,Alto,Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Medio Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
210,2014,I10S7C289J2V1,Medio Alto,Alto,Bajo,Alto,Muy Bajo,Medio Alto,Medio Alto,Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
211,2014,I10S7C289J1V1,Bajo,Medio Alto,Medio,Muy Bajo,Muy Bajo,Alto,Medio Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
212,2014,I10S7C286J2V1,Medio Alto,Muy Bajo,Alto,Alto,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,VESPERTINO,no acreditado
213,2014,I10S7C285J2V1,Alto,Medio,Medio Alto,Alto,Bajo,Medio Alto,Medio Alto,Bajo,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
214,2014,I10S7C284J2V1,Alto,Muy Bajo,Alto,Medio Alto,Muy Bajo,Medio,Medio Alto,Muy Bajo,Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
216,2014,I10S7C263J2V1,Alto,Bajo,Bajo,Alto,Muy Bajo,Medio,Medio,Medio Alto,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
217,2014,I10S7C246J2V1,Alto,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Medio,Medio,Medio,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
218,2014,I10S7C241J2V1,Alto,Medio,Muy Bajo,Alto,Muy Bajo,Bajo,Medio,Alto,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
219,2014,I10S7C240J2V1,Medio,Muy Bajo,Medio Alto,Alto,Bajo,Medio Alto,Medio,Medio,Medio Alto,Universidades Privadas,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
220,2014,I54S9C70J1V1,Medio,Alto,Muy Bajo,Medio Alto,Alto,Medio,Medio Alto,Medio,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
222,2014,I10S7C16J2V2,Alto,Alto,Medio,Alto,Muy Bajo,Medio Alto,Alto,Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
223,2014,I10S7C129J1V1,Medio Alto,Medio Alto,Muy Bajo,Bajo,Bajo,Alto,Medio Alto,Bajo,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
226,2014,I10S6C415J5V1,Medio,Muy Bajo,Medio,Alto,Muy Bajo,Medio Alto,Muy Bajo,Alto,Medio,Universidades Privadas,SERVICIOS,PRESENCIAL,OTRO,no acreditado
227,2014,I10S6C350J5V1,Alto,Bajo,Bajo,Alto,Medio,Alto,Muy Bajo,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,OTRO,no acreditado
228,2014,I54S17C48J1V1,Muy Bajo,Bajo,Alto,Bajo,Alto,Bajo,Bajo,Bajo,Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,DIURNO,acreditado
229,2014,I10S6C31J1V1,Bajo,Alto,Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
230,2014,I10S6C281J1V1,Medio Alto,Bajo,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
232,2014,I10S6C24J1V1,Bajo,Alto,Medio,Bajo,Muy Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
233,2014,I10S6C23J1V1,Muy Bajo,Alto,Muy Bajo,Muy Bajo,Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
235,2014,I10S6C22J1V1,Bajo,Alto,Muy Bajo,Bajo,Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
236,2014,I10S6C208J2V1,Medio,Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Alto,Muy Bajo,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
237,2014,I10S6C18J1V1,Muy Bajo,Alto,Medio,Medio,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
238,2014,I10S6C12J1V1,Medio,Alto,Bajo,Muy Bajo,Medio,Alto,Alto,Medio Alto,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
239,2014,I10S6C11J1V1,Medio Alto,Bajo,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Muy Bajo,Bajo,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
240,2014,I10S5C138J1V1,Medio Alto,Medio Alto,Alto,Muy Bajo,Muy Bajo,Alto,Alto,Bajo,Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
242,2014,I10S2C26J1V1,Muy Bajo,Alto,Muy Bajo,Bajo,Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
243,2014,I10S2C262J2V1,Muy Bajo,Muy Bajo,Medio,Alto,Muy Bajo,Alto,Alto,Bajo,Medio Alto,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
244,2014,I10S10C396J5V1,Bajo,Muy Bajo,Bajo,Alto,Muy Bajo,Medio Alto,Bajo,Bajo,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,OTRO,no acreditado
247,2014,I54S17C56J2V2,Medio Alto,Medio,Alto,Alto,Medio Alto,Muy Bajo,Medio,Bajo,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
249,2014,I68S1C2J2V1,Bajo,Alto,Medio Alto,Alto,Muy Bajo,Muy Bajo,Medio Alto,Muy Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
255,2014,I68S1C11J2V1,Medio Alto,Bajo,Medio,Alto,Muy Bajo,Bajo,Medio,Muy Bajo,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
256,2014,I9S1C72J2V1,Medio,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Bajo,Medio,Muy Bajo,Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
258,2014,I54S15C51J2V1,Medio,Muy Bajo,Medio,Alto,Alto,Bajo,Medio,Medio Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
259,2014,I9S1C6J2V1,Muy Bajo,Medio,Medio,Alto,Muy Bajo,Medio,Medio Alto,Medio,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
260,2014,I9S1C66J1V1,Muy Bajo,Bajo,Medio Alto,Medio,Medio,Medio,Medio Alto,Muy Bajo,Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
261,2014,I89S1C206J1V1,Muy Bajo,Muy Bajo,Medio Alto,Alto,Bajo,Bajo,Medio Alto,Bajo,Medio Alto,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
263,2014,I39S6C9J1V1,Medio,Alto,Bajo,Medio,Bajo,Medio Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
264,2014,I39S6C85J1V1,Muy Bajo,Medio,Muy Bajo,Medio,Medio,Bajo,Alto,Medio,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
265,2014,I39S6C53J1V1,Medio,Medio,Medio Alto,Bajo,Medio,Medio Alto,Alto,Muy Bajo,Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
266,2014,I39S6C46J1V1,Bajo,Alto,Medio Alto,Bajo,Bajo,Medio Alto,Alto,Medio Alto,Medio,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
267,2014,I39S6C45J1V2,Bajo,Alto,Medio Alto,Bajo,Medio,Medio Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
268,2014,I39S6C42J1V1,Bajo,Medio Alto,Medio,Medio,Bajo,Alto,Alto,Bajo,Bajo,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
269,2014,I39S6C3J1V1,Medio,Alto,Medio,Bajo,Medio,Medio Alto,Alto,Bajo,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
270,2014,I90S1C132J1V1,Muy Bajo,Alto,Bajo,Bajo,Medio,Alto,Alto,Alto,Bajo,Universidades Privadas CRUCH,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
271,2014,I39S6C26J1V1,Medio,Alto,Muy Bajo,Bajo,Muy Bajo,Medio Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
273,2014,I39S6C18J1V1,Medio,Alto,Bajo,Medio,Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
274,2014,I39S6C16J1V1,Muy Bajo,Alto,Muy Bajo,Medio,Bajo,Medio Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
275,2014,I39S6C15J1V2,Muy Bajo,Medio Alto,Bajo,Medio,Bajo,Medio,Alto,Muy Bajo,Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
276,2014,I39S6C123J1V1,Alto,Medio Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Bajo,Bajo,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
277,2014,I39S6C10J1V1,Muy Bajo,Alto,Medio,Medio,Bajo,Medio Alto,Alto,Alto,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
278,2014,I13S1C9J2V1,Medio,Alto,Medio,Alto,Bajo,Muy Bajo,Medio Alto,Medio,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
279,2014,I13S1C9J1V1,Muy Bajo,Alto,Bajo,Medio,Medio,Medio,Alto,Medio Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
280,2014,I13S1C7J1V1,Bajo,Bajo,Medio,Medio,Muy Bajo,Medio Alto,Alto,Bajo,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
281,2014,I13S1C6J2V1,Medio,Alto,Muy Bajo,Alto,Bajo,Bajo,Alto,Medio Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
282,2014,I13S1C6J1V1,Bajo,Alto,Muy Bajo,Bajo,Medio,Medio,Alto,Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
283,2014,I13S1C43J1V1,Bajo,Medio,Medio Alto,Medio,Muy Bajo,Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
284,2014,I13S1C40J1V1,Bajo,Medio,Bajo,Medio,Medio,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
285,2014,I13S1C39J1V1,Muy Bajo,Medio Alto,Medio Alto,Medio,Medio,Medio,Medio Alto,Medio Alto,Medio,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
286,2014,I13S1C37J1V1,Bajo,Medio Alto,Muy Bajo,Medio,Bajo,Medio,Alto,Medio Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
287,2014,I13S1C341J2V1,Alto,Muy Bajo,Muy Bajo,Medio Alto,Muy Bajo,Medio Alto,Medio Alto,Medio,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
288,2014,I13S1C31J1V1,Muy Bajo,Alto,Medio,Medio,Medio,Medio Alto,Alto,Alto,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
289,2014,I13S1C2J2V1,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Bajo,Bajo,Medio Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
290,2014,I13S1C2J1V1,Bajo,Alto,Medio,Bajo,Medio,Medio,Alto,Medio Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
291,2014,I13S1C1J1V1,Bajo,Alto,Muy Bajo,Medio,Medio,Medio Alto,Alto,Alto,Bajo,Universidades Privadas,AGRICULTURA,PRESENCIAL,DIURNO,acreditado
292,2014,I13S1C14J2V1,Medio,Bajo,Muy Bajo,Alto,Bajo,Muy Bajo,Medio Alto,Bajo,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,acreditado
294,2014,I13S1C13J1V1,Bajo,Alto,Muy Bajo,Medio,Bajo,Medio,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
296,2014,I13S1C102J1V1,Alto,Muy Bajo,Medio,Alto,Medio,Medio Alto,Alto,Muy Bajo,Bajo,Universidades Privadas,AGRICULTURA,PRESENCIAL,DIURNO,no acreditado
297,2014,I17S2C51J1V1,Bajo,Muy Bajo,Muy Bajo,Medio,Bajo,Medio,Medio,Bajo,Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,no acreditado
298,2014,I17S2C38J2V1,Alto,Medio,Medio,Alto,Medio Alto,Muy Bajo,Medio,Bajo,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
299,2014,I17S2C23J1V1,Muy Bajo,Bajo,Muy Bajo,Medio Alto,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
300,2014,I17S1C60J2V1,Bajo,Alto,Medio,Alto,Bajo,Muy Bajo,Medio Alto,Medio,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
301,2014,I17S1C58J2V1,Bajo,Medio,Muy Bajo,Alto,Bajo,Medio,Medio Alto,Muy Bajo,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
302,2014,I17S1C58J1V1,Bajo,Medio,Muy Bajo,Medio Alto,Bajo,Medio,Medio Alto,Muy Bajo,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
303,2014,I17S1C57J1V1,Medio Alto,Alto,Muy Bajo,Medio Alto,Bajo,Bajo,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
304,2014,I17S1C101J2V1,Medio,Bajo,Medio,Medio Alto,Bajo,Muy Bajo,Medio,Medio,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
305,2014,I17S1C100J2V1,Bajo,Bajo,Alto,Medio Alto,Muy Bajo,Medio,Medio,Bajo,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
